,Fragile States Index 2014,Total,Demographic Pressures,Refugees and IDPs,Group Grievance,Human Flight,Uneven Development,Poverty and Economic Decline,Legitimacy of the State,Public Services,Human Rights,Security Apparatus,Factionalized Elites,External Intervention,Status,Population (millions),Neighbors with Equal or Lesser Stability
160,France,35,6,2,6,2,4,4,2,2,2,3,2,2,Stable,64,164
161,United Kingdom,34,5,3,5,2,3,4,2,2,2,3,3,1,Stable,64,164
162,Portugal,33,3,2,2,2,3,5,2,3,3,2,2,3,Stable,10,164
163,Slovenia,33,10,2,4,3,4,4,3,2,2,2,2,2,Stable,2,164
164,Belgium,32,3,2,4,2,3,4,2,2,1,2,4,2,Stable,11,164
165,Germany,31,4,3,4,2,4,3,1,2,2,2,2,2,Stable,81,164
166,Netherlands,29,7,2,4,2,2,4,1,2,1,2,3,2,Sustainable,17,177
167,Austria,28,5,2,5,2,4,2,2,2,2,1,3,2,Sustainable,9,177
168,Canada,27,4,2,3,2,3,2,1,2,2,2,2,1,Sustainable,36,177
169,Australia,26,10,2,4,1,3,2,1,2,2,2,2,1,Sustainable,24,177
170,Ireland,26,9,1,2,3,3,4,2,2,1,2,1,2,Sustainable,5,177
171,Iceland,26,5,2,1,3,2,4,1,2,1,1,2,5,Sustainable,0,177
172,Luxembourg,25,10,2,3,2,2,2,2,2,1,2,3,2,Sustainable,1,177
173,New Zealand,24,10,1,4,2,3,4,0,2,1,1,1,1,Sustainable,4,177
174,Switzerland,23,3,2,3,2,2,2,1,2,2,2,1,2,Sustainable,8,177
175,Norway,23,8,2,4,2,2,2,0,2,2,3,1,1,Sustainable,5,177
176,Denmark,23,7,1,3,2,2,2,1,2,2,2,1,2,Sustainable,6,177
177,Sweden,21,1,3,1,2,2,2,1,2,1,2,2,1,Sustainable,10,177
178,Finland,19,10,1,1,2,1,3,1,1,1,1,1,1,Sustainable,6,177
,AVERAGE,71,5,5,6,5,6,6,6,6,6,6,6,6,-,40,115
